AcademicYear,AggregateLevel,CountyCode,DistrictCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterSchool,DASS,ReportingCategory,CohortStudents,Met UC/CSU Grad Req's (Rate),Seal of Biliteracy (Rate),Golden State Seal Merit Diploma (Rate,CHSPE Completer (Rate),Adult Ed. HS Diploma (Rate),SPED Certificate (Rate),GED Completer (Rate),Other Transfer (Rate),Still Enrolled (%),Dropout Rate (%),Graduation Rate (%),,,
2016-17,C,1,,,Alameda,,,All,All,GF,8039,62.4,13.9,27.1,0.4,0.0,0.4,0.0,0.6,0.038,0.063,0.885,,,
2016-17,C,1,,,Alameda,,,All,All,GM,8675,52.0,8.3,21.8,0.3,0.0,0.7,0.0,0.8,0.058,0.096,0.827,,,
2016-17,C,1,,,Alameda,,,All,All,RA,3632,76.6,20.3,46.5,0.2,0.0,0.4,0.0,0.5,0.028,0.031,0.93,,,
2016-17,C,1,,,Alameda,,,All,All,RB,2091,37.7,1.9,7.2,0.2,0.1,0.8,0.0,0.9,0.093,0.139,0.747,,,
2016-17,C,1,,,Alameda,,,All,All,RD,62,57.1,2.9,11.4,1.6,0.0,0.0,0.0,6.5,0.113,0.242,0.565,,,
2016-17,C,1,,,Alameda,,,All,All,RF,993,58.7,6.0,29.8,0.1,0.0,0.7,0.0,0.3,0.019,0.029,0.941,,,
2016-17,C,1,,,Alameda,,,All,All,RH,5487,44.9,9.8,10.2,0.1,0.0,0.5,0.1,0.9,0.066,0.117,0.801,,,
2016-17,C,1,,,Alameda,,,All,All,RI,45,42.4,12.1,12.1,2.2,0.0,0.0,0.0,6.7,0.067,0.111,0.733,,,
2016-17,C,1,,,Alameda,,,All,All,RP,212,34.7,1.8,12.9,0.5,0.0,0.5,0.0,0.9,0.052,0.127,0.802,,,
2016-17,C,1,,,Alameda,,,All,All,RT,643,60.9,10.3,29.9,0.2,0.2,0.2,0.0,0.2,0.028,0.056,0.91,,,
2016-17,C,1,,,Alameda,,,All,All,RW,3549,63.4,9.9,27.6,0.9,0.0,0.7,0.1,0.5,0.025,0.052,0.901,,,
2016-17,C,1,,,Alameda,,,All,All,SD,1985,19.6,1.4,4.7,0.5,0.0,4.5,0.0,0.8,0.148,0.124,0.67,,,
2016-17,C,1,,,Alameda,,,All,All,SE,2472,32.4,6.7,9.1,0.0,0.0,0.8,0.0,1.5,0.113,0.166,0.697,,,
2016-17,C,1,,,Alameda,,,All,All,SF,214,13.4,1.0,3.1,0.0,0.0,0.5,0.0,0.5,0.182,0.355,0.453,,,
2016-17,C,1,,,Alameda,,,All,All,SH,674,24.4,2.7,4.6,0.0,0.0,0.7,0.0,2.2,0.132,0.23,0.608,,,
2016-17,C,1,,,Alameda,,,All,All,SM,92,36.7,21.5,13.9,0.0,0.0,0.0,0.0,1.1,0.033,0.098,0.859,,,
2016-17,C,1,,,Alameda,,,All,All,SS,9185,44.7,7.0,12.5,0.2,0.0,0.6,0.0,0.9,0.076,0.117,0.79,,,
2016-17,C,1,,,Alameda,,,All,All,TA,16714,57.2,11.1,24.5,0.3,0.0,0.5,0.0,0.7,0.048,0.08,0.855,,,
2016-17,C,2,,,Alpine,,,All,All,GF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,2,,,Alpine,,,All,All,GM,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,2,,,Alpine,,,All,All,RI,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,2,,,Alpine,,,All,All,SS,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,2,,,Alpine,,,All,All,TA,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,GF,167,38.7,9.3,32.0,0.6,0.0,0.0,0.0,1.2,0.006,0.078,0.898,,,
2016-17,C,3,,,Amador,,,All,All,GM,174,22.8,6.9,17.9,0.0,0.0,0.0,0.0,2.3,0.023,0.121,0.833,,,
2016-17,C,3,,,Amador,,,All,All,RA,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,RB,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,RH,64,18.9,5.7,18.9,0.0,0.0,0.0,0.0,4.7,0.016,0.109,0.828,,,
2016-17,C,3,,,Amador,,,All,All,RI,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,RT,17,33.3,6.7,26.7,0.0,0.0,0.0,0.0,0.0,0,0.118,0.882,,,
2016-17,C,3,,,Amador,,,All,All,RW,238,33.8,7.6,26.2,0.4,0.0,0.0,0.0,1.3,0.017,0.084,0.882,,,
2016-17,C,3,,,Amador,,,All,All,SD,50,2.6,0.0,5.3,0.0,0.0,0.0,0.0,2.0,0.06,0.16,0.76,,,
2016-17,C,3,,,Amador,,,All,All,SE,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,SF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,3,,,Amador,,,All,All,SH,31,13.6,4.5,9.1,0.0,0.0,0.0,0.0,9.7,0.065,0.129,0.71,,,
2016-17,C,3,,,Amador,,,All,All,SS,163,16.9,4.8,12.9,0.6,0.0,0.0,0.0,3.1,0.025,0.178,0.761,,,
2016-17,C,3,,,Amador,,,All,All,TA,341,30.8,8.1,25.1,0.3,0.0,0.0,0.0,1.8,0.015,0.1,0.865,,,
2016-17,C,4,,,Butte,,,All,All,GF,1149,37.8,3.7,7.3,0.9,0.0,0.4,0.1,1.5,0.031,0.074,0.866,,,
2016-17,C,4,,,Butte,,,All,All,GM,1328,26.7,2.1,5.3,0.9,0.0,1.5,0.2,2.0,0.041,0.099,0.814,,,
2016-17,C,4,,,Butte,,,All,All,RA,170,37.0,1.2,2.5,0.0,0.0,0.0,0.6,1.2,0.006,0.024,0.953,,,
2016-17,C,4,,,Butte,,,All,All,RB,57,21.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.018,0.123,0.825,,,
2016-17,C,4,,,Butte,,,All,All,RD,12,33.3,0.0,0.0,8.3,0.0,8.3,0.0,0.0,0,0.583,0.25,,,
2016-17,C,4,,,Butte,,,All,All,RF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,4,,,Butte,,,All,All,RH,539,27.0,2.0,2.2,0.4,0.0,1.5,0.2,0.7,0.035,0.085,0.852,,,
2016-17,C,4,,,Butte,,,All,All,RI,68,22.5,0.0,5.0,0.0,0.0,2.9,0.0,2.9,0.103,0.25,0.588,,,
2016-17,C,4,,,Butte,,,All,All,RP,13,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.077,0.846,,,
2016-17,C,4,,,Butte,,,All,All,RT,125,20.0,2.4,9.4,1.6,0.0,2.4,0.8,3.2,0.056,0.184,0.68,,,
2016-17,C,4,,,Butte,,,All,All,RW,1485,34.5,3.7,8.4,1.1,0.0,0.7,0.0,1.9,0.037,0.075,0.851,,,
2016-17,C,4,,,Butte,,,All,All,SD,327,2.9,1.0,1.4,0.9,0.0,7.6,0.0,2.1,0.113,0.141,0.639,,,
2016-17,C,4,,,Butte,,,All,All,SE,146,8.7,0.8,0.0,0.0,0.0,2.1,0.0,1.4,0.034,0.062,0.87,,,
2016-17,C,4,,,Butte,,,All,All,SF,43,4.0,0.0,8.0,0.0,0.0,0.0,4.7,0.0,0.047,0.326,0.581,,,
2016-17,C,4,,,Butte,,,All,All,SH,205,9.1,0.8,5.8,1.0,0.0,1.0,1.0,4.9,0.063,0.268,0.59,,,
2016-17,C,4,,,Butte,,,All,All,SM,20,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.15,0.85,,,
2016-17,C,4,,,Butte,,,All,All,SS,1584,20.1,1.3,3.3,0.5,0.0,1.4,0.1,2.5,0.049,0.125,0.782,,,
2016-17,C,4,,,Butte,,,All,All,TA,2477,32.0,2.9,6.3,0.9,0.0,1.0,0.1,1.7,0.037,0.088,0.838,,,
2016-17,C,5,,,Calaveras,,,All,All,GF,259,34.2,1.3,18.1,0.4,0.0,0.8,0.0,1.2,0.019,0.042,0.915,,,
2016-17,C,5,,,Calaveras,,,All,All,GM,276,18.3,1.6,7.9,0.4,0.0,2.5,0.0,0.4,0.007,0.047,0.913,,,
2016-17,C,5,,,Calaveras,,,All,All,RA,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,RB,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,RF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,RH,99,20.9,4.4,11.0,0.0,0.0,2.0,0.0,0.0,0.02,0.04,0.919,,,
2016-17,C,5,,,Calaveras,,,All,All,RI,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,RP,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,RT,18,27.8,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0,0,1,,,
2016-17,C,5,,,Calaveras,,,All,All,RW,398,27.1,0.8,13.0,0.5,0.0,1.8,0.0,0.8,0.013,0.05,0.907,,,
2016-17,C,5,,,Calaveras,,,All,All,SD,84,3.2,0.0,1.6,0.0,0.0,10.7,0.0,1.2,0.036,0.095,0.75,,,
2016-17,C,5,,,Calaveras,,,All,All,SE,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,5,,,Calaveras,,,All,All,SF,11,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.182,0.091,0.636,,,
2016-17,C,5,,,Calaveras,,,All,All,SH,110,26.0,0.0,15.0,0.0,0.0,0.0,0.0,1.8,0.009,0.064,0.909,,,
2016-17,C,5,,,Calaveras,,,All,All,SS,383,21.2,0.9,12.2,0.3,0.0,1.3,0.0,1.0,0.018,0.057,0.898,,,
2016-17,C,5,,,Calaveras,,,All,All,TA,535,26.0,1.4,12.9,0.4,0.0,1.7,0.0,0.7,0.013,0.045,0.914,,,
2016-17,C,6,,,Colusa,,,All,All,GF,174,27.4,11.3,0.0,0.0,0.0,1.1,0.0,0.0,0,0.023,0.966,,,
2016-17,C,6,,,Colusa,,,All,All,GM,183,18.7,4.8,0.0,0.0,0.0,1.6,0.0,1.1,0.016,0.049,0.907,,,
2016-17,C,6,,,Colusa,,,All,All,RA,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,6,,,Colusa,,,All,All,RB,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,6,,,Colusa,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,6,,,Colusa,,,All,All,RH,259,22.0,11.2,0.0,0.0,0.0,1.9,0.0,0.8,0.004,0.039,0.931,,,
2016-17,C,6,,,Colusa,,,All,All,RI,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,6,,,Colusa,,,All,All,RW,85,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.035,0.941,,,
2016-17,C,6,,,Colusa,,,All,All,SD,35,3.4,3.4,0.0,0.0,0.0,14.3,0.0,0.0,0.029,0,0.829,,,
2016-17,C,6,,,Colusa,,,All,All,SE,76,3.1,3.1,0.0,0.0,0.0,3.9,0.0,2.6,0,0.092,0.842,,,
2016-17,C,6,,,Colusa,,,All,All,SF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,6,,,Colusa,,,All,All,SH,21,11.1,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0,0.095,0.857,,,
2016-17,C,6,,,Colusa,,,All,All,SM,31,25.0,12.5,0.0,0.0,0.0,3.2,0.0,3.2,0,0.161,0.774,,,
2016-17,C,6,,,Colusa,,,All,All,SS,274,20.8,10.2,0.0,0.0,0.0,1.5,0.0,0.7,0.007,0.04,0.931,,,
2016-17,C,6,,,Colusa,,,All,All,TA,357,23.1,8.1,0.0,0.0,0.0,1.4,0.0,0.6,0.008,0.036,0.936,,,
2016-17,C,7,,,Contra Costa,,,All,All,GF,6756,59.4,18.9,28.4,0.2,0.2,1.1,0.1,1.2,0.03,0.033,0.909,,,
2016-17,C,7,,,Contra Costa,,,All,All,GM,7014,48.8,13.0,20.4,0.3,0.3,1.7,0.3,2.0,0.044,0.066,0.845,,,
2016-17,C,7,,,Contra Costa,,,All,All,GX,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,7,,,Contra Costa,,,All,All,RA,1515,75.6,36.4,46.5,0.7,0.0,0.9,0.1,0.2,0.014,0.017,0.952,,,
2016-17,C,7,,,Contra Costa,,,All,All,RB,1480,31.1,2.9,10.3,0.1,0.1,3.0,0.1,2.4,0.068,0.09,0.786,,,
2016-17,C,7,,,Contra Costa,,,All,All,RD,53,35.1,0.0,0.0,1.9,0.0,0.0,1.9,3.8,0.075,0.151,0.698,,,
2016-17,C,7,,,Contra Costa,,,All,All,RF,678,65.7,12.8,30.1,0.1,0.0,1.3,0.0,1.2,0.015,0.013,0.945,,,
2016-17,C,7,,,Contra Costa,,,All,All,RH,4495,40.3,13.6,13.3,0.0,0.2,1.0,0.1,3.1,0.06,0.077,0.819,,,
2016-17,C,7,,,Contra Costa,,,All,All,RI,41,31.3,9.4,6.3,0.0,0.0,0.0,0.0,2.4,0.146,0.049,0.78,,,
2016-17,C,7,,,Contra Costa,,,All,All,RP,93,41.5,6.1,15.9,0.0,0.0,3.2,0.0,0.0,0.011,0.075,0.882,,,
2016-17,C,7,,,Contra Costa,,,All,All,RT,534,57.7,16.1,28.5,0.0,0.6,1.3,0.2,0.9,0.032,0.043,0.895,,,
2016-17,C,7,,,Contra Costa,,,All,All,RW,4882,63.2,15.7,29.5,0.4,0.5,1.5,0.4,0.6,0.017,0.026,0.923,,,
2016-17,C,7,,,Contra Costa,,,All,All,SD,1645,17.4,2.2,3.1,0.4,0.2,11.9,0.1,2.6,0.103,0.085,0.66,,,
2016-17,C,7,,,Contra Costa,,,All,All,SE,1674,21.4,5.3,6.1,0.1,0.0,2.2,0.1,6.0,0.097,0.125,0.693,,,
2016-17,C,7,,,Contra Costa,,,All,All,SF,133,9.8,1.2,2.4,0.0,0.8,2.3,0.0,5.3,0.098,0.203,0.617,,,
2016-17,C,7,,,Contra Costa,,,All,All,SH,510,28.3,6.0,9.4,0.4,0.0,1.4,0.6,7.3,0.088,0.192,0.624,,,
2016-17,C,7,,,Contra Costa,,,All,All,SM,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,7,,,Contra Costa,,,All,All,SS,6635,36.5,9.5,12.9,0.2,0.2,2.0,0.2,3.0,0.065,0.087,0.793,,,
2016-17,C,7,,,Contra Costa,,,All,All,TA,13771,54.2,16.0,24.5,0.2,0.2,1.4,0.2,1.6,0.037,0.05,0.876,,,
2016-17,C,8,,,Del Norte,,,All,All,GF,183,18.2,2.8,1.4,0.0,0.0,0.0,0.0,0.0,0.082,0.137,0.781,,,
2016-17,C,8,,,Del Norte,,,All,All,GM,158,17.2,1.7,4.3,0.6,0.0,1.3,0.0,0.6,0.082,0.158,0.734,,,
2016-17,C,8,,,Del Norte,,,All,All,RA,11,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,
2016-17,C,8,,,Del Norte,,,All,All,RB,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,8,,,Del Norte,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,8,,,Del Norte,,,All,All,RF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,8,,,Del Norte,,,All,All,RH,77,27.3,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.104,0.182,0.714,,,
2016-17,C,8,,,Del Norte,,,All,All,RI,49,7.9,0.0,2.6,0.0,0.0,2.0,0.0,0.0,0.061,0.143,0.776,,,
2016-17,C,8,,,Del Norte,,,All,All,RP,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,8,,,Del Norte,,,All,All,RT,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.4,0.533,,,
2016-17,C,8,,,Del Norte,,,All,All,RW,177,18.0,0.0,4.3,0.6,0.0,0.6,0.0,0.0,0.09,0.113,0.785,,,
2016-17,C,8,,,Del Norte,,,All,All,SD,50,3.4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.22,0.16,0.58,,,
2016-17,C,8,,,Del Norte,,,All,All,SE,17,9.1,9.1,0.0,0.0,0.0,0.0,0.0,5.9,0.118,0.176,0.647,,,
2016-17,C,8,,,Del Norte,,,All,All,SF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,8,,,Del Norte,,,All,All,SH,29,8.3,8.3,0.0,0.0,0.0,0.0,0.0,3.4,0.103,0.448,0.414,,,
2016-17,C,8,,,Del Norte,,,All,All,SS,232,14.0,3.4,2.2,0.4,0.0,0.9,0.0,0.4,0.073,0.138,0.772,,,
2016-17,C,8,,,Del Norte,,,All,All,TA,341,17.8,2.3,2.7,0.3,0.0,0.6,0.0,0.3,0.082,0.147,0.76,,,
2016-17,C,9,,,El Dorado,,,All,All,GF,1084,54.8,12.7,34.1,0.7,0.3,0.4,0.2,0.3,0.021,0.046,0.914,,,
2016-17,C,9,,,El Dorado,,,All,All,GM,1218,44.0,8.7,26.8,0.2,0.3,1.0,0.3,1.9,0.043,0.048,0.871,,,
2016-17,C,9,,,El Dorado,,,All,All,RA,86,83.1,27.7,60.2,0.0,0.0,1.2,0.0,1.2,0,0.012,0.965,,,
2016-17,C,9,,,El Dorado,,,All,All,RB,54,26.5,8.8,11.8,0.0,0.0,1.9,0.0,3.7,0.204,0.111,0.63,,,
2016-17,C,9,,,El Dorado,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,9,,,El Dorado,,,All,All,RF,36,39.4,12.1,30.3,0.0,0.0,2.8,0.0,5.6,0,0,0.917,,,
2016-17,C,9,,,El Dorado,,,All,All,RH,391,29.2,12.8,16.1,0.8,1.3,1.0,0.3,1.5,0.056,0.054,0.841,,,
2016-17,C,9,,,El Dorado,,,All,All,RI,25,50.0,5.6,11.1,0.0,0.0,0.0,4.0,4.0,0.04,0.16,0.72,,,
2016-17,C,9,,,El Dorado,,,All,All,RP,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,9,,,El Dorado,,,All,All,RT,101,54.0,14.9,34.5,0.0,0.0,2.0,0.0,2.0,0.04,0.059,0.861,,,
2016-17,C,9,,,El Dorado,,,All,All,RW,1595,52.3,9.1,32.3,0.4,0.1,0.4,0.3,0.8,0.023,0.043,0.914,,,
2016-17,C,9,,,El Dorado,,,All,All,SD,304,9.8,0.5,4.7,0.7,0.3,5.3,0.3,2.3,0.128,0.076,0.707,,,
2016-17,C,9,,,El Dorado,,,All,All,SE,113,2.3,11.4,2.3,0.9,0.9,0.9,0.0,5.3,0.071,0.071,0.779,,,
2016-17,C,9,,,El Dorado,,,All,All,SF,121,1.5,0.0,0.0,0.8,0.8,1.7,0.0,0.8,0.215,0.19,0.554,,,
2016-17,C,9,,,El Dorado,,,All,All,SH,196,16.7,2.9,13.0,0.0,2.0,0.5,0.5,4.6,0.097,0.122,0.704,,,
2016-17,C,9,,,El Dorado,,,All,All,SM,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,9,,,El Dorado,,,All,All,SS,841,23.9,7.0,13.8,0.7,0.8,1.0,0.5,2.5,0.065,0.103,0.776,,,
2016-17,C,9,,,El Dorado,,,All,All,TA,2302,49.2,10.6,30.3,0.5,0.3,0.7,0.3,1.1,0.033,0.047,0.891,,,
2016-17,C,10,,,Fresno,,,All,All,GF,7425,53.6,9.3,19.9,0.1,0.1,0.9,0.0,2.0,0.04,0.074,0.855,,,
2016-17,C,10,,,Fresno,,,All,All,GM,7630,40.1,5.7,13.9,0.2,0.3,1.7,0.1,3.8,0.051,0.125,0.763,,,
2016-17,C,10,,,Fresno,,,All,All,RA,1441,70.3,4.8,31.1,0.2,0.1,0.9,0.0,0.9,0.026,0.048,0.905,,,
2016-17,C,10,,,Fresno,,,All,All,RB,828,40.3,2.5,6.9,0.0,0.0,2.3,0.1,1.8,0.053,0.168,0.737,,,
2016-17,C,10,,,Fresno,,,All,All,RD,35,21.4,0.0,7.1,0.0,0.0,0.0,0.0,20.0,0.057,0.343,0.4,,,
2016-17,C,10,,,Fresno,,,All,All,RF,138,76.2,3.1,43.8,0.0,0.0,0.7,0.0,0.7,0.022,0.022,0.942,,,
2016-17,C,10,,,Fresno,,,All,All,RH,9204,40.2,10.6,10.9,0.1,0.3,1.2,0.0,3.7,0.051,0.112,0.784,,,
2016-17,C,10,,,Fresno,,,All,All,RI,107,25.6,2.6,10.3,0.0,0.0,0.0,0.0,1.9,0.075,0.178,0.729,,,
2016-17,C,10,,,Fresno,,,All,All,RP,38,50.0,0.0,20.0,0.0,0.0,2.6,0.0,0.0,0.105,0.079,0.789,,,
2016-17,C,10,,,Fresno,,,All,All,RT,227,50.6,1.1,26.7,0.4,0.0,0.4,0.0,4.0,0.066,0.093,0.793,,,
2016-17,C,10,,,Fresno,,,All,All,RW,3037,55.4,2.6,27.5,0.4,0.1,1.5,0.2,2.0,0.032,0.068,0.858,,,
2016-17,C,10,,,Fresno,,,All,All,SD,1472,13.3,1.6,3.4,0.0,0.3,13.4,0.1,4.4,0.087,0.178,0.554,,,
2016-17,C,10,,,Fresno,,,All,All,SE,2255,23.3,5.4,4.7,0.0,0.4,2.0,0.0,6.1,0.071,0.151,0.693,,,
2016-17,C,10,,,Fresno,,,All,All,SF,222,16.7,0.9,3.7,0.0,0.9,2.7,0.0,3.6,0.09,0.351,0.486,,,
2016-17,C,10,,,Fresno,,,All,All,SH,824,24.1,6.0,6.8,0.0,0.5,0.8,0.1,5.6,0.083,0.257,0.59,,,
2016-17,C,10,,,Fresno,,,All,All,SM,444,33.8,11.9,9.1,0.0,0.5,0.7,0.0,3.6,0.054,0.106,0.793,,,
2016-17,C,10,,,Fresno,,,All,All,SS,11948,41.2,8.6,11.7,0.1,0.2,1.4,0.1,3.5,0.055,0.119,0.772,,,
2016-17,C,10,,,Fresno,,,All,All,TA,15055,47.2,7.6,17.0,0.1,0.2,1.3,0.1,2.9,0.045,0.1,0.808,,,
2016-17,C,11,,,Glenn,,,All,All,GF,268,37.4,12.1,14.1,0.0,0.0,0.4,2.6,2.2,0.045,0.164,0.739,,,
2016-17,C,11,,,Glenn,,,All,All,GM,253,21.0,3.2,7.5,0.8,0.0,0.8,0.0,0.4,0.043,0.202,0.735,,,
2016-17,C,11,,,Glenn,,,All,All,RA,18,73.3,0.0,13.3,0.0,0.0,5.6,0.0,0.0,0,0.111,0.833,,,
2016-17,C,11,,,Glenn,,,All,All,RB,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,RF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,RH,287,25.8,13.9,9.6,0.0,0.0,0.7,1.7,1.7,0.038,0.192,0.728,,,
2016-17,C,11,,,Glenn,,,All,All,RI,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,RP,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,RT,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,RW,183,31.1,0.7,12.8,1.1,0.0,0.0,0.5,1.1,0.044,0.12,0.809,,,
2016-17,C,11,,,Glenn,,,All,All,SD,50,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.06,0.06,0.82,,,
2016-17,C,11,,,Glenn,,,All,All,SE,109,10.6,8.5,8.5,0.0,0.0,1.8,5.5,2.8,0.055,0.413,0.431,,,
2016-17,C,11,,,Glenn,,,All,All,SF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,11,,,Glenn,,,All,All,SH,62,20.0,7.5,15.0,0.0,0.0,1.6,0.0,0.0,0.065,0.274,0.645,,,
2016-17,C,11,,,Glenn,,,All,All,SM,13,8.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0.077,0.923,,,
2016-17,C,11,,,Glenn,,,All,All,SS,396,23.2,9.3,8.2,0.3,0.0,0.8,1.3,1.5,0.045,0.21,0.707,,,
2016-17,C,11,,,Glenn,,,All,All,TA,521,29.4,7.8,10.9,0.4,0.0,0.6,1.3,1.3,0.044,0.182,0.737,,,
2016-17,C,12,,,Humboldt,,,All,All,GF,647,40.4,9.7,15.5,0.6,0.0,0.0,0.0,1.1,0.036,0.068,0.879,,,
2016-17,C,12,,,Humboldt,,,All,All,GM,722,24.3,5.0,11.6,0.7,0.0,0.3,0.1,1.2,0.054,0.112,0.81,,,
2016-17,C,12,,,Humboldt,,,All,All,RA,44,48.7,12.8,23.1,2.3,0.0,0.0,0.0,2.3,0,0.068,0.886,,,
2016-17,C,12,,,Humboldt,,,All,All,RB,13,23.1,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,,,
2016-17,C,12,,,Humboldt,,,All,All,RD,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,12,,,Humboldt,,,All,All,RF,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,12,,,Humboldt,,,All,All,RH,205,21.4,5.8,5.8,0.0,0.0,0.5,0.5,1.0,0.034,0.102,0.844,,,
2016-17,C,12,,,Humboldt,,,All,All,RI,122,12.3,1.9,5.7,0.0,0.0,0.8,0.0,0.8,0.033,0.082,0.869,,,
2016-17,C,12,,,Humboldt,,,All,All,RP,0,0,0,0,0,0,0,0,0,0,0,0,,,
2016-17,C,12,,,Humboldt,,,All,All,RT,99,24.0,2.7,13.3,0.0,0.0,0.0,0.0,0.0,0.091,0.152,0.758,,,
